lap_distance_m,speed_kph,throttle,brake
0.0,282.0,1.0,0.0
5.0,282.0320311800018,1.0,0.0
10.0,283.1520025087358,1.0,0.0
15.0,284.2719738374698,1.0,0.0
20.0,285.39194516620375,1.0,0.0
25.0,286.51191649493774,1.0,0.0
30.0,287.37521613832854,1.0,0.0
35.0,288.0402571491909,1.0,0.0
40.0,288.7052981600532,1.0,0.0
45.0,289.37033917091554,1.0,0.0
50.0,290.01371134020616,1.0,0.0
55.0,290.2714432989691,1.0,0.0
60.0,290.52917525773194,1.0,0.0
65.0,290.78690721649485,1.0,0.0
70.0,291.21136127890657,1.0,0.0
75.0,292.4316919885289,1.0,0.0
80.0,293.6520226981512,1.0,0.0
85.0,294.8723534077735,1.0,0.0
90.0,295.3687505147846,1.0,0.0
95.0,295.7805782060786,1.0,0.0
100.0,296.19240589737257,1.0,0.0
105.0,296.6042335886665,1.0,0.0
110.0,297.01606127996047,1.0,0.0
115.0,297.42788897125445,1.0,0.0
120.0,297.83971666254837,1.0,0.0
125.0,298.22905572639314,1.0,0.0
130.0,298.60406510162755,1.0,0.0
135.0,298.9790744768619,1.0,0.0
140.0,299.3540838520963,1.0,0.0
145.0,299.7290932273307,1.0,0.0
150.0,300.23480651300486,1.0,0.0
155.0,301.08065130048635,1.0,0.0
160.0,301.92649608796785,1.0,0.0
165.0,302.77234087544934,1.0,0.0
170.0,303.61818566293084,1.0,0.0
175.0,304.2305042016807,1.0,0.0
180.0,304.65067226890756,1.0,0.0
185.0,305.07084033613444,1.0,0.0
190.0,305.4910084033613,1.0,0.0
195.0,305.91117647058826,1.0,0.0
200.0,306.43067792907596,1.0,0.0
205.0,306.97680768950704,1.0,0.0
210.0,307.5229374499381,1.0,0.0
215.0,308.0690672103692,1.0,0.0
220.0,308.61519697080024,1.0,0.0
225.0,309.10719988387285,1.0,0.0
230.0,309.4700972564959,1.0,0.0
235.0,309.8329946291189,1.0,0.0
240.0,310.0976306746247,1.0,0.0
245.0,310.2784952070899,1.0,0.0
250.0,310.45935973955505,1.0,0.0
255.0,310.64022427202025,1.0,0.0
