lap_distance_m,session_uid,session_time,frame_id,player_car_index,lap_num,total_distance_m,sector,lap_invalid,pit_status,speed_kph,throttle,brake,steer,gear,rpm,g_lat,g_long,pos_x,pos_z,lap_time_s,drs
165.0,fastf1_2024_japan_q_VER,4224.171063861281,33,1,11,165.0,1,0,0,302.77234087544934,1.0,0.0,,8,10790.763840135336,,,274.87250158595896,69.78414886868259,88.197,12
170.0,fastf1_2024_japan_q_VER,4224.230272996405,34,1,11,170.0,1,0,0,303.61818566293084,1.0,0.0,,8,10810.21827024741,,,277.85410446183124,69.65727215056037,88.197,12
175.0,fastf1_2024_japan_q_VER,4224.289270588235,35,1,11,175.0,1,0,0,304.2305042016807,1.0,0.0,,8,10822.803319327732,,,281.608768907563,69.48474789915966,88.197,12
180.0,fastf1_2024_japan_q_VER,4224.348094117647,36,1,11,180.0,1,0,0,304.65067226890756,1.0,0.0,,8,10829.736092436975,,,285.999525210084,69.27466386554622,88.197,12
185.0,fastf1_2024_japan_q_VER,4224.406917647058,37,1,11,185.0,1,0,0,305.07084033613444,1.0,0.0,,8,10836.668865546219,,,290.39028151260504,69.06457983193276,88.197,12
190.0,fastf1_2024_japan_q_VER,4224.465741176471,38,1,11,190.0,1,0,0,305.4910084033613,1.0,0.0,,8,10843.601638655462,,,294.78103781512607,68.85449579831932,88.197,12
195.0,fastf1_2024_japan_q_VER,4224.524564705883,39,1,11,195.0,1,0,0,305.91117647058826,1.0,0.0,,8,10850.534411764706,,,299.1717941176471,68.64441176470588,88.197,12
200.0,fastf1_2024_japan_q_VER,4224.5829389791015,40,1,11,200.0,1,0,0,306.43067792907596,1.0,0.0,,8,10868.078642685503,,,303.14345736547006,68.47079662127722,88.197,12
205.0,fastf1_2024_japan_q_VER,4224.641192820214,41,1,11,205.0,1,0,0,306.97680768950704,1.0,0.0,,8,10888.46748707493,,,307.002774339183,68.3069576931479,88.197,12
210.0,fastf1_2024_japan_q_VER,4224.699446661327,42,1,11,210.0,1,0,0,307.5229374499381,1.0,0.0,,8,10908.856331464356,,,310.862091312896,68.14311876501857,88.197,12
215.0,fastf1_2024_japan_q_VER,4224.75770050244,43,1,11,215.0,1,0,0,308.0690672103692,1.0,0.0,,8,10929.245175853783,,,314.72140828660895,67.97927983688925,88.197,12
220.0,fastf1_2024_japan_q_VER,4224.815954343552,44,1,11,220.0,1,0,0,308.61519697080024,1.0,0.0,,8,10949.63402024321,,,318.58072526032186,67.81544090875992,88.197,12
225.0,fastf1_2024_japan_q_VER,4224.874151981419,45,1,11,225.0,1,0,0,309.10719988387285,1.0,0.0,,8,10968.18079547104,,,321.3,67.7,88.197,12
230.0,fastf1_2024_japan_q_VER,4224.932215561039,46,1,11,230.0,1,0,0,309.4700972564959,1.0,0.0,,8,10982.33379300334,,,321.3,67.7,88.197,12
235.0,fastf1_2024_japan_q_VER,4224.9902791406585,47,1,11,235.0,1,0,0,309.8329946291189,1.0,0.0,,8,10996.486790535637,,,321.3,67.7,88.197,12
240.0,fastf1_2024_japan_q_VER,4225.04824181588,48,1,11,240.0,1,0,0,310.0976306746247,1.0,0.0,,8,11007.198119008863,,,323.71147766323026,67.60236932537529,88.197,12
245.0,fastf1_2024_japan_q_VER,4225.1061184662685,49,1,11,245.0,1,0,0,310.2784952070899,1.0,0.0,,8,11014.975293904865,,,328.17883161512026,67.42150479291011,88.197,12
250.0,fastf1_2024_japan_q_VER,4225.163995116658,50,1,11,250.0,1,0,0,310.45935973955505,1.0,0.0,,8,11022.752468800869,,,332.6461855670103,67.24064026044493,88.197,12
