session_uid,session_time,frame_id,player_car_index,lap_num,lap_distance_m,total_distance_m,sector,lap_invalid,pit_status,speed_kph,throttle,brake,steer,gear,rpm,g_lat,g_long,pos_x,pos_z,lap_packet_seen,lap_join_status,lap_context_age_s,lap_packet_frame_id,lap_player_index,lap_parser_version,lap_parse_valid,lap_join_defaulted
17533153590716904811,4223.452287593004,21,0,11,105.0,105.0,1,0,0,296.6042335886665,1.0,0.0,-1.6e-05,8,11007.42758696428,-0.001721,0.192219,238.1323504379101,71.3722043763556,1,reference,0.0,21,0,fastf1_compatible_v1,1,0
17533153590716904811,4223.512688987727,22,0,11,110.0,110.0,1,0,0,297.01606127996047,1.0,0.0,0.000133,8,10860.954204760728,0.014022,0.191435,240.63077176509347,71.26238365867721,1,reference,0.0,22,0,fastf1_compatible_v1,1,0
17533153590716904811,4223.573090382451,23,0,11,115.0,115.0,1,0,0,297.42788897125445,1.0,0.0,0.000197,8,10714.480822557176,0.020833,0.188922,243.1291930922769,71.15256294099882,1,reference,0.0,23,0,fastf1_compatible_v1,1,0
17533153590716904811,4223.633491777174,24,0,11,120.0,120.0,1,0,0,297.8397166625484,1.0,0.0,0.000193,8,10568.007440353622,0.020444,0.185725,245.62761441946023,71.04274222332043,1,reference,0.0,24,0,fastf1_compatible_v1,1,0
17533153590716904811,4223.693648916223,25,0,11,125.0,125.0,1,0,0,298.22905572639314,1.0,0.0,0.000169,8,10535.738018450462,0.018004,0.182514,248.71876546913677,70.90837770944273,1,reference,0.0,25,0,fastf1_compatible_v1,1,0
17533153590716904811,4223.753650416261,26,0,11,130.0,130.0,1,0,0,298.60406510162755,1.0,0.0,0.00014,8,10576.239030975774,0.014939,0.17929,252.18760219005475,70.75837395934899,1,reference,0.0,26,0,fastf1_compatible_v1,1,0
17533153590716904811,4223.813651916298,27,0,11,135.0,135.0,1,0,0,298.9790744768619,1.0,0.0,0.000125,8,10616.740043501088,0.013365,0.18326,255.6564389109728,70.60837020925523,1,reference,0.0,27,0,fastf1_compatible_v1,1,0
17533153590716904811,4223.873653416335,28,0,11,140.0,140.0,1,0,0,299.3540838520963,1.0,0.0,0.000148,8,10657.241056026402,0.015874,0.21117,259.1252756318908,70.45836645916148,1,reference,0.0,28,0,fastf1_compatible_v1,1,0
17533153590716904811,4223.933654916373,29,0,11,145.0,145.0,1,0,0,299.7290932273307,1.0,0.0,0.000173,8,10697.742068551714,0.01858,0.255956,262.59411235280885,70.30836270906772,1,reference,0.0,29,0,fastf1_compatible_v1,1,0
17533153590716904811,4223.99343645591,30,0,11,150.0,150.0,1,0,0,300.23480651300486,1.0,0.0,0.000183,8,10732.400549799111,0.019808,0.300984,265.92769295834216,70.16477902304928,1,reference,0.0,30,0,fastf1_compatible_v1,1,0
17533153590716904811,4224.052645591034,31,0,11,155.0,155.0,1,0,0,301.08065130048635,1.0,0.0,-8.9e-05,8,10751.854979911186,-0.009639,0.346294,268.90929583421445,70.03790230492704,1,reference,0.0,31,0,fastf1_compatible_v1,1,0
17533153590716904811,4224.111854726158,32,0,11,160.0,160.0,1,0,0,301.92649608796785,1.0,0.0,-0.000852,8,10771.30941002326,-0.092977,0.374624,271.8908987100868,69.91102558680483,1,reference,0.0,32,0,fastf1_compatible_v1,1,0
17533153590716904811,4224.171063861281,33,0,11,165.0,165.0,1,0,0,302.77234087544934,1.0,0.0,-0.001448,8,10790.763840135336,-0.15889,0.360416,274.87250158595896,69.78414886868259,1,reference,0.0,33,0,fastf1_compatible_v1,1,0
17533153590716904811,4224.230272996405,34,0,11,170.0,170.0,1,0,0,303.61818566293084,1.0,0.0,-0.001445,8,10810.21827024741,-0.159231,0.320613,277.85410446183124,69.65727215056037,1,reference,0.0,34,0,fastf1_compatible_v1,1,0
17533153590716904811,4224.289270588235,35,0,11,175.0,175.0,1,0,0,304.2305042016807,1.0,0.0,-0.001239,8,10822.803319327732,-0.137152,0.280541,281.608768907563,69.48474789915966,1,reference,0.0,35,0,fastf1_compatible_v1,1,0
17533153590716904811,4224.348094117647,36,0,11,180.0,180.0,1,0,0,304.6506722689076,1.0,0.0,-0.000692,8,10829.736092436977,-0.076818,0.240233,285.999525210084,69.27466386554622,1,reference,0.0,36,0,fastf1_compatible_v1,1,0
17533153590716904811,4224.406917647058,37,0,11,185.0,185.0,1,0,0,305.07084033613444,1.0,0.0,0.000349,8,10836.66886554622,0.038926,0.215704,290.39028151260504,69.06457983193276,1,reference,0.0,37,0,fastf1_compatible_v1,1,0
17533153590716904811,4224.465741176471,38,0,11,190.0,190.0,1,0,0,305.4910084033613,1.0,0.0,0.001146,8,10843.601638655462,0.128099,0.217608,294.78103781512607,68.85449579831932,1,reference,0.0,38,0,fastf1_compatible_v1,1,0
17533153590716904811,4224.524564705883,39,0,11,195.0,195.0,1,0,0,305.91117647058826,1.0,0.0,0.001395,8,10850.534411764706,0.156346,0.23007,299.1717941176471,68.64441176470588,1,reference,0.0,39,0,fastf1_compatible_v1,1,0
